Title,Author,Publication_Date,ePub_link,MOBI_link,URL
Investing In and Paying for Your Water Services from 2015,The Scottish Government,2012-06-12 00:00:00,http://files.scotgov.publishingthefuture.info/S0001FIN_8823_190612.epub,http://files.scotgov.publishingthefuture.info/S0001FIN_8830_190612.mobi,http://scotgov.publishingthefuture.info/publication/investing-and-paying-your-water-services-2015
Taking forward a Scottish Land and Buildings Transaction Tax - Consultation June 2012,The Scottish Government,2012-06-09 00:00:00,http://files.scotgov.publishingthefuture.info/S0001FIN_8649_080612v4.epub,http://files.scotgov.publishingthefuture.info/S0001FIN_8656_080612v4.mobi,http://scotgov.publishingthefuture.info/publication/taking-forward-scottish-land-and-buildings-transaction-tax-consultation-june-2012
National Parenting Strategy making a positive difference to children and young people through parenting,The Scottish Government,2012-03-10 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_9844_021012.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_9837_021012.mobi,http://scotgov.publishingthefuture.info/publication/national-parenting-strategy-making-positive-difference-children-and-young-people-through
"Your Scotland, Your Referendum - A Consultation Document",The Scottish Government,2012-02-25 00:00:00,http://files.scotgov.publishingthefuture.info/ScotGovRef2012.epub,http://files.scotgov.publishingthefuture.info/ScotGovRef2012.mobi,http://scotgov.publishingthefuture.info/publication/your-scotland-your-referendum-consultation-document
National Care Standards: Care homes for people with learning disabilities,The Scottish Government,2011-05-16 00:00:00,,,http://scotgov.publishingthefuture.info/publication/national-care-standards-care-homes-for-people-with-learning-disabilities
An Introductory Guide for Clinicians and Administration Staff: Clinical Administration for Psychological Therapies Services,The Scottish Government,2010-05-27 00:00:00,,,http://scotgov.publishingthefuture.info/publication/an-introductory-guide-for-clinicians-and-administration-staff-clinical-administration
Choosing a School a guide for parents 2008-2009,The Scottish Government,2009-11-11 00:00:00,,,http://scotgov.publishingthefuture.info/publication/choosing-a-school-a-guide-for-parents-2008-2009
Recipe For Success - Scotland's National Food and Drink Policy,The Scottish Government,2009-06-26 00:00:00,,,http://scotgov.publishingthefuture.info/publication/recipe-for-success-scotlands-national-food-and-drink-policy
"Better Health, Better Care: Hospital Services for Young People in Scotland",The Scottish Government,2009-05-05 00:00:00,,,http://scotgov.publishingthefuture.info/publication/better-health-better-care-hospital-services-for-young-people-in-scotland
"Better Health, Better Care: National Delivery Plan for Children and Young People's Specialist Services in Scotland",The Scottish Government,2009-01-20 00:00:00,,,http://scotgov.publishingthefuture.info/publication/better-health-better-care-national-delivery-plan-for-children-and-young-peoples
Worth Doing: Using the Scottish Credit and Qualifications Framework in Community Learning and Development - Summary,The Scottish Government,2008-10-28 00:00:00,,,http://scotgov.publishingthefuture.info/publication/worth-doing-using-the-scottish-credit-and-qualifications-framework-in-community-learning
Healthy Eating in Schools: A Guide to Implementing the Nutritional Requirements for Food and Drink in Schools (Scotland) Regulations 2008,The Scottish Government,2008-09-17 00:00:00,,,http://scotgov.publishingthefuture.info/publication/healthy-eating-in-schools-a-guide-to-implementing-the-nutritional-requirements-for-food
These Are Our Bairns: A guide for community planning partnerships on being a good corporate parent,The Scottish Government,2008-09-03 00:00:00,,,http://scotgov.publishingthefuture.info/publication/these-are-our-bairns-a-guide-for-community-planning-partnerships-on-being-a-good
Health promotion guidance for local authorities and schools,The Scottish Government,2008-08-14 00:00:00,,,http://scotgov.publishingthefuture.info/publication/health-promotion-guidance-for-local-authorities-and-schools
Early Years and Early Intervention: A joint Scottish Government and COSLA policy statement,The Scottish Government,2008-03-18 00:00:00,,,http://scotgov.publishingthefuture.info/publication/early-years-and-early-intervention-a-joint-scottish-government-and-cosla-policy
Don't Let Fraud Drain Our Resources: Strategy to Combat NHS Fraud in Scotland,The Scottish Government,2008-01-28 00:00:00,,,http://scotgov.publishingthefuture.info/publication/dont-let-fraud-drain-our-resources-strategy-to-combat-nhs-fraud-in-scotland
LEAP: A manual for Learning Evaluation and Planning in Community Learning and Development: Revised Edition,The Scottish Government,2007-12-05 00:00:00,,,http://scotgov.publishingthefuture.info/publication/leap-a-manual-for-learning-evaluation-and-planning-in-community-learning-and-development
The New Mental Health Act: An Introduction to the Mental Health Tribunal for Scotland - Information for Service Users and their Carers,The Scottish Government,2006-10-02 00:00:00,,,http://scotgov.publishingthefuture.info/publication/the-new-mental-health-act-an-introduction-to-the-mental-health-tribunal-for-scotland
Mental Health (care and treatment) (Scotland) Act 2003: Code of Practice Volume 1,The Scottish Government,2005-09-21 00:00:00,,,http://scotgov.publishingthefuture.info/publication/mental-health-care-and-treatment-scotland-act-2003-code-of-practice-volume-1
"Children, Physical Punishment and the Law - A Guide for Parents in Scotland",The Scottish Government,2003-10-27 00:00:00,,,http://scotgov.publishingthefuture.info/publication/children-physical-punishment-and-the-law-a-guide-for-parents-in-scotland
